Sr.No,x,y,z,PotholeValues
1,1.0235748,9.821548,-2.916214,0
2,-0.20465088,9.649155,0.0178833,0
3,1.1911621,10.71698,0.6152344,0
4,2.8922424,10.045395,0.59010315,0
5,3.0945587,9.649155,-0.024017334,0
6,2.791687,9.43129,-0.77459717,0
7,2.3415833,9.744934,-1.1014099,0
8,1.1899719,7.6715546,-1.125351,0
9,-0.021499634,7.919342,-1.5191956,0
10,-0.939682,8.631622,-1.0606995,0
11,-0.48358154,9.753311,-0.97691345,0
12,-0.38542175,8.572968,-1.7669983,0
13,-1.30719,7.7350006,-0.757843,0
14,-2.4635925,9.3953705,-1.351593,0
15,-3.3458557,9.102081,-1.2402649,0
16,-3.0238342,8.880615,-1.540741,0
17,-1.9871368,8.90097,-1.5455322,0
18,-1.5370331,8.782455,-1.2055511,0
19,-1.2305756,9.616837,-1.1193695,0
20,-0.5769501,9.981949,-0.63334656,0
21,-0.36627197,10.537415,-0.6931915,0
22,-0.1232605,10.705002,-0.7662201,0
23,0.18081665,10.769653,-0.0790863,0
24,0.35079956,10.323135,-0.47532654,0
25,0.07307434,9.456421,-0.9218445,0
26,0.08982849,9.987946,-1.343216,0
27,1.1899719,10.651138,-1.5215912,0
28,2.0123749,8.847107,2.171463,0
29,2.4577026,9.659927,-2.616928,0
30,1.9321747,10.122009,-3.8535461,0
31,0.8176727,9.861053,-2.1117554,0
32,0.82724,9.461212,-1.7813568,0
33,0.57466125,8.370651,-1.5610962,0
34,0.5447235,8.088135,-0.57707214,0
35,0.42980957,9.257706,-0.47532654,0
36,0.6165619,10.013077,-0.59742737,0
37,0.2993164,8.727386,-2.0124054,0
38,-0.8546753,7.863083,-0.98168945,0
39,-1.6292114,9.051804,-1.4772949,0
40,-0.80081177,9.732956,-2.936554,0
41,-0.78045654,9.203842,-2.014801,0
42,-1.9332733,8.295242,-3.4764557,0
43,-2.3366852,8.138412,-2.6193237,0
44,-1.5118866,8.836334,-2.342804,0
45,-1.46521,9.630005,-2.2194977,0
46,-1.6100464,9.489944,-1.5874329,0
47,-1.7644806,9.436081,-2.2829437,0
48,-1.4604187,8.830338,-1.9764862,0
49,-0.9731903,9.844284,-0.85839844,0
50,0.42741394,10.748093,-2.0554962,0
51,0.92181396,9.546204,-1.3923035,0
