Sr.No,x,y,z,PotholeValues
1,-1.2940216,8.884216,-0.6022186,0
2,-0.81877136,9.346298,-0.69200134,0
3,-0.271698,9.706619,0.34588623,0
4,0.1796112,10.058563,-1.0283813,0
5,-0.06100464,9.0434265,-0.11859131,0
6,-0.6858978,8.572968,0.04182434,0
7,-1.5849152,9.03624,-0.093444824,0
8,-1.1707153,8.976395,-0.21914673,0
9,-1.5298462,9.053009,-0.29815674,0
10,-0.95285034,9.936462,-0.6501007,0
11,0.28614807,10.369812,-1.0643005,0
12,0.29093933,9.853867,-0.94218445,0
13,-0.51589966,9.542618,-1.0104218,0
14,-0.48358154,9.999908,0.02027893,0
15,-0.3626709,10.026245,-0.98049927,0
16,0.14608765,10.016663,-0.4848938,0
17,0.4322052,9.211014,-0.7279053,0
18,0.24066162,9.736542,-0.06591797,0
19,0.06588745,9.876602,-0.426239,0
20,-0.093322754,9.753311,-1.1923828,0
21,-0.82595825,9.072159,-0.0730896,0
22,-1.7453308,9.0434265,-1.3300476,0
23,-2.0517883,8.569382,-0.50405884,0
24,-1.6998291,8.629227,-0.20237732,0
25,-1.6794891,9.391785,-1.0798645,0
26,-1.291626,8.988358,-0.3137207,0
27,-1.1647339,8.854279,-0.6105957,0
28,-1.1407928,9.178696,-0.5423584,0
29,-0.7732849,8.6017,-1.564682,0
30,-1.291626,8.481979,0.033447266,0
31,-1.1252289,9.975967,-1.3599854,0
32,-0.12086487,9.713806,-1.4641266,0
33,-0.02508545,8.814774,0.0035247803,0
34,-0.2657013,9.936462,-2.2039337,0
35,-0.13282776,9.782043,0.31835938,0
36,0.12095642,9.195465,-0.92063904,0
37,-0.15797424,10.511078,-1.5227814,0
38,-0.41893005,9.953217,-0.16049194,0
39,0.8882904,9.876602,-1.2702026,0
40,1.1480713,10.860626,-0.67523193,0
41,0.11376953,10.039413,-0.53996277,0
42,0.40226746,9.972382,-0.79374695,0
43,-0.81877136,9.336716,-0.6620636,0
44,0.3927002,9.823944,-0.49926758,0
45,-0.32077026,9.442062,-1.3611755,0
46,-1.1958618,8.69986,-0.3436432,0
47,-0.65356445,9.218201,-1.5898285,0
48,-0.70983887,9.630005,0.06097412,0
49,-0.93489075,9.250519,-1.6006012,0
50,-1.0258636,9.185883,-1.2306976,0
51,-1.1671295,8.862671,-1.0068359,0
52,-1.1551514,9.649155,-0.98168945,0
53,-0.71102905,9.853867,-0.8595886,0
54,-0.22740173,9.816757,-1.078659,0
55,-0.43449402,8.939285,-0.9457855,0
56,-1.3203583,8.399384,-0.2394867,0
57,-0.79841614,9.020676,-1.6951752,0
58,-1.2976074,9.66832,1.2101898,0
59,-0.36746216,10.118423,-1.2139282,0
60,1.1301117,10.244125,-0.40827942,0
61,0.36515808,10.002304,0.13400269,0
62,0.81048584,10.317139,-1.4988403,0
63,0.4034729,9.582123,1.0665436,0
64,-0.07896423,10.120819,-1.4042664,0
65,-0.74694824,10.092087,-1.2235107,0
66,1.2342529,8.203064,1.0186615,0
67,-0.06340027,8.34552,-1.5610962,0
68,-0.5542145,9.25412,-0.32807922,0
69,-0.24655151,8.412552,-1.4449768,0
70,-0.18789673,8.812393,-0.9457855,0
71,-0.7828522,8.560989,-1.971695,0
72,-0.6487732,8.560989,0.0071105957,0
73,-0.15197754,9.574936,-1.2809753,0
74,0.3460083,9.240952,-0.20716858,0
75,0.69317627,8.922516,-0.61299133,0
76,-0.8355255,8.12764,-1.4150391,0
77,-1.0988922,8.164749,-1.1875916,0
78,-0.15916443,8.756119,-0.98768616,0
79,0.57466125,9.80957,0.4476471,0
80,1.0630798,9.578537,-1.3599854,0
81,1.3288269,9.067368,-0.88352966,0
82,0.58303833,9.68866,-0.30055237,0
83,-0.46562195,10.664307,0.07295227,0
84,-1.4628143,10.281235,-0.110198975,0
85,-2.9196777,9.3798065,-1.7813568,0
86,-3.2788086,9.1763,-0.25027466,0
87,-1.4508362,11.217361,0.20822144,0
88,-1.5669556,12.504242,-0.82128906,0
89,-1.6687164,12.590439,0.29560852,0
90,0.016815186,11.922455,-1.0630951,0
91,-1.7944031,10.26207,0.9109192,0
92,-3.8881378,10.268066,-1.2953339,0
93,-3.1088257,11.138351,0.36982727,0
94,-0.7349701,10.910904,-0.59384155,0
95,1.3240356,10.187851,-0.18322754,0
96,1.0917969,9.548599,0.7074127,0
97,0.4944458,9.799988,-0.85479736,0
98,-0.06100464,9.151169,-0.5818634,0
99,-0.29682922,8.677109,0.28483582,0
100,0.076660156,9.653946,0.14118958,0
101,1.0044098,9.274475,-0.17485046,0
102,2.1045532,8.546631,-0.4154663,0
103,1.5095978,8.139618,-1.0714722,0
104,-0.25613403,7.5889435,-0.22991943,0
105,-0.02508545,7.2513733,-1.7466431,0
106,0.51838684,7.001175,0.16033936,0
107,0.20475769,7.305237,-1.2510376,0
108,0.17481995,8.024689,-1.4521637,0
109,0.5794525,7.8846283,-1.4437714,0
110,0.19517517,8.165955,-0.34124756,0
111,-0.97558594,8.182709,-1.6604462,0
112,-1.3778076,8.645996,-0.95895386,0
113,-1.4879456,9.603668,-2.3643494,0
114,-2.382187,9.823944,-2.0135956,0
115,-2.1607208,9.5533905,-1.382721,0
116,-2.11763,9.788025,-1.351593,0
117,-2.4420319,10.987518,-1.9034576,0
118,-1.8973541,11.462769,-1.8124847,0
119,-1.8207397,11.004272,-1.9106445,0
120,-2.5234375,10.020264,-1.880722,0
121,-2.7808228,10.128006,-0.9242401,0
122,-1.9620056,11.073715,-1.2773743,0
123,-0.17591858,11.094055,-0.9469757,0
124,0.8368225,10.426071,0.20942688,0
125,0.76020813,10.470367,-0.37117004,0
126,0.12095642,9.541428,0.11364746,0
127,0.04673767,8.84111,0.045410156,0
128,-0.23098755,8.754929,-0.31610107,0
129,-0.11846924,9.264893,0.6427765,0
130,0.5794525,9.753311,-0.03479004,0
131,0.83084106,8.702255,-0.5794678,0
132,-0.311203,7.909775,-1.0367584,0
133,-1.1695251,7.867874,-0.16287231,0
134,-0.33633423,8.902176,0.0466156,0
135,-0.350708,8.97879,0.105270386,0
136,0.13531494,8.420929,-0.3065338,0
137,-0.14720154,8.426926,-0.52919006,0
138,0.083847046,9.0039215,-0.0060577393,0
139,0.08503723,9.165527,-0.74227905,0
140,-0.85946655,9.252914,-0.53996277,0
141,-0.9432678,9.570145,-1.4210358,0
142,-0.8570709,9.780838,-0.12098694,0
143,-0.40457153,9.460022,-2.0758514,0
144,-0.3231659,8.976395,-1.3061066,0
145,-0.8822174,9.087723,-1.935791,0
146,-1.2928162,10.058563,-0.8464203,0
147,-1.2748566,10.080124,-1.1445007,0
148,-1.9129181,9.547409,-0.97810364,1
149,-2.3450775,8.985962,-1.422226,1
150,-2.3103638,9.621628,0.057388306,1
151,-2.0852966,10.760071,0.014297485,1
