Sr.No,x,y,z,lat,long,PotholeValues
1,-1.8554535,8.7621155,-2.1895752,19.2037897,73.1899816,0
2,-0.7050476,9.331924,-1.8041077,19.2037897,73.1899816,0
3,-0.6487732,9.838303,-3.5554657,19.2037897,73.1899816,0
4,-1.5262604,9.161942,-1.2558289,19.2037897,73.1899816,0
5,-1.7477264,8.836334,-1.8819122,19.2037897,73.1899816,0
6,-1.5502014,9.160736,-2.6205292,19.2037897,73.1899816,0
7,-1.6387787,8.951248,-1.243866,19.2037897,73.1899816,0
8,-1.628006,9.689865,-1.9920502,19.2037897,73.1899816,0
9,-1.3490906,9.771271,-3.0119781,19.2037897,73.1899816,0
10,-0.9624176,9.446854,-1.9836731,19.2037897,73.1899816,0
11,-0.89178467,9.735352,-1.8076935,19.2037897,73.1899816,0
12,-0.21064758,10.697815,-1.9238129,19.2037897,73.1899816,0
13,-0.36387634,9.997513,-2.639679,19.2037897,73.1899816,0
14,-0.3123932,9.533035,-1.9537354,19.2037897,73.1899816,0
15,0.33164978,10.111237,-2.4720917,19.2037897,73.1899816,0
16,0.045532227,9.893372,-0.91226196,19.2037897,73.1899816,0
17,-0.5422363,8.626831,-1.2725983,19.2037897,73.1899816,0
18,-1.0462189,8.52388,-1.2079468,19.2037897,73.1899816,0
19,-0.68110657,9.913727,-0.4561615,19.2037897,73.1899816,0
20,-0.62005615,8.756119,-3.0359192,19.2037897,73.1899816,0
21,-1.0246735,8.546631,-0.12336731,19.2037897,73.1899816,0
22,-2.5868835,9.002731,-1.7562256,19.2037897,73.1899816,0
23,-1.7046204,9.565369,-1.7562256,19.2037897,73.1899816,0
24,-1.4005585,9.23616,-1.0044403,19.2037897,73.1899816,0
25,-1.260498,9.07814,-2.284134,19.2037897,73.1899816,0
26,-1.0306549,9.343903,-1.1851959,19.2037897,73.1899816,0
27,-1.434082,8.951248,-1.6760101,19.2037897,73.1899816,0
28,-1.5813293,9.354675,-1.683197,19.2037897,73.1899816,0
29,-1.707016,9.476776,-1.1792145,19.2037897,73.1899816,0
30,-1.2377472,9.792816,-1.67482,19.2037897,73.1899816,0
31,-0.9013672,9.164337,-2.4684906,19.2037897,73.1899816,0
32,-1.1216278,9.652756,-0.47651672,19.2037897,73.1899816,0
33,-1.0701599,10.344681,-1.9046631,19.2037897,73.1899816,0
34,-0.4883728,9.667114,-2.8443909,19.2037897,73.1899816,0
35,-1.015091,9.007507,-0.31730652,19.2037897,73.1899816,0
36,-1.3562622,9.331924,-1.0487366,19.2037897,73.1899816,0
37,-0.92051697,9.184692,-1.9046631,19.2037897,73.1899816,0
38,-1.6304016,8.969208,-0.8847351,19.2037897,73.1899816,0
39,-1.6639252,9.366638,-1.5634918,19.2037897,73.1899816,0
40,-1.4975281,9.006317,-1.3097076,19.2037897,73.1899816,0
41,-1.4592133,9.5138855,-0.3759613,19.2037897,73.1899816,0
42,-1.983551,9.075745,-1.8088989,19.2037897,73.1899816,0
43,-1.3263397,9.541428,-0.014434814,19.2037897,73.1899816,0
44,-1.6950531,9.359467,-1.8974762,19.2037897,73.1899816,0
45,-1.062973,9.35228,-1.4784851,19.2037897,73.1899816,0
46,-1.1156464,9.067368,-1.243866,19.2037897,73.1899816,0
47,-1.5669556,9.682678,-1.3168793,19.2037897,73.1899816,0
48,-1.4173126,9.398972,-1.980072,19.2037897,73.1899816,0
49,-1.2736664,9.588104,-0.5902405,19.2037897,73.1899816,0
50,-0.6344147,9.995117,-1.5263824,19.2037897,73.1899816,0
51,-0.22979736,9.762878,-1.7610016,19.2037897,73.1899816,0
