Sr.No,x,y,z,lat,long,PotholeValues
83,-2.4923096,9.476776,3.6917877,19.1959667,73.1958285,0
84,-2.1116333,9.386993,4.368149,19.1959667,73.1958285,0
85,-1.8135529,9.066177,4.934372,19.1959667,73.1958285,0
86,-1.6746979,8.492767,5.265976,19.1959667,73.1958285,0
87,-1.7285614,7.7697144,5.18338,19.1959667,73.1958285,0
88,-1.9979095,7.1579895,4.704529,19.1959667,73.1958285,0
89,-2.327118,6.8802643,4.0186005,19.1959667,73.1958285,0
90,-2.5066833,7.096939,3.4727173,19.1959667,73.1958285,0
91,-2.2816315,7.638031,3.3817444,19.1959667,73.1958285,0
92,-1.9931183,8.381424,3.7636108,19.1959667,73.1958285,0
93,-1.7405396,8.877029,4.21611,19.1959667,73.1958285,0
94,-1.4209137,8.93689,4.587219,19.1959667,73.1958285,0
95,-1.2904205,8.914139,4.9128265,19.1959667,73.1958285,0
96,-1.5633698,8.799225,5.1139374,19.1959667,73.1958285,0
97,-1.8267212,8.529877,5.1378784,19.1959667,73.1958285,0
98,-1.9272766,8.181519,4.9690857,19.1959667,73.1958285,0
99,-2.2588806,8.121658,4.669815,19.1959667,73.1958285,0
100,-2.5378113,8.253342,4.5165863,19.1959667,73.1958285,0
101,-2.477951,8.1623535,4.55011,19.1959667,73.1958285,0
102,-2.5773163,8.1575775,4.407654,19.1959667,73.1958285,0
103,-2.6886444,7.831955,4.159851,19.1959667,73.1958285,0
104,-3.0070648,7.6931,3.9994354,19.1959667,73.1958285,0
105,-3.2393036,7.5697937,3.9922638,19.1959667,73.1958285,0
106,-3.576889,7.645218,3.9599304,19.1959667,73.1958285,0
107,-3.9300385,7.8499146,3.9719086,19.1959667,73.1958285,0
108,-4.0246124,8.061798,4.1861877,19.1959667,73.1958285,0
109,-3.9108734,8.290451,4.462723,19.1959667,73.1958285,0
110,-3.7241364,8.516708,4.5453186,19.1959667,73.1958285,0
111,-3.410492,8.519104,4.5333405,19.1959667,73.1958285,0
112,-2.8562317,8.332352,4.523773,19.1959667,73.1958285,0
113,-2.6551208,8.194687,4.4423676,19.1959667,73.1958285,0
114,-2.6647034,7.670349,4.3142853,19.1959667,73.1958285,0
115,-2.9915009,7.27771,4.1071777,19.1959667,73.1958285,0
116,-3.3015594,7.2286224,3.6678467,19.1959667,73.1958285,0
117,-3.1914215,7.1879272,3.3027344,19.1959667,73.1958285,0
118,-2.5737152,6.9640656,3.0297852,19.1959667,73.1958285,0
119,-2.2349396,6.8886414,2.870575,19.1959667,73.1958285,0
120,-2.4420319,7.1017303,2.784378,19.1959667,73.1958285,0
121,-2.6706848,7.337555,2.8274841,19.1959667,73.1958285,0
122,-2.7125854,7.7661133,2.9436035,19.1959667,73.1958285,0
123,-2.8813782,8.446075,3.2033691,19.1959667,73.1958285,0
124,-2.9938965,9.001526,4.0940094,19.1959667,73.1958285,0
125,-2.517456,9.163132,5.392868,19.1959667,73.1958285,0
126,-1.7788391,9.018295,6.4822235,19.1959667,73.1958285,0
127,-1.3778076,8.5885315,6.9766235,19.1959667,73.1958285,0
128,-2.0182648,8.618454,6.7276306,19.1959667,73.1958285,0
129,-2.8179321,8.921326,6.0417023,19.1959667,73.1958285,0
130,-2.8969421,9.212219,5.38089,19.1959667,73.1958285,0
131,-2.1475525,9.257706,5.001419,19.1959667,73.1958285,0
132,-1.6507568,9.201447,5.0157776,19.1959667,73.1958285,0
133,-1.7776489,9.127228,5.1426697,19.1959667,73.1958285,0
134,-1.8075714,8.827942,5.148651,19.1959667,73.1958285,0
135,-1.6220245,8.610077,4.882904,19.1959667,73.1958285,0
136,-1.4723816,8.58374,4.3082886,19.1959667,73.1958285,0
137,-1.4759827,8.52388,3.827057,19.1959667,73.1958285,0
138,-1.3526764,8.272491,3.625946,19.1959667,73.1958285,0
139,-1.4328766,7.9396973,3.0860596,19.1959667,73.1958285,0
140,-1.8063812,7.998352,2.3019562,19.1959667,73.1958285,0
141,-2.1487427,8.3754425,1.819519,19.1959667,73.1958285,0
142,-2.1188202,8.277283,1.8302917,19.1959667,73.1958285,0
143,-2.110443,8.068985,1.7704315,19.1959667,73.1958285,0
144,-2.4420319,8.146805,1.7189636,19.1959667,73.1958285,0
145,-3.042984,8.448471,2.02063,19.1959667,73.1958285,0
146,-3.5912476,8.716614,2.345047,19.1959667,73.1958285,0
147,-3.5242157,8.904556,2.048172,19.1959667,73.1958285,0
148,-3.0657196,8.934494,1.443634,19.1959667,73.1958285,1
149,-2.6311798,8.510712,1.1204071,19.1959667,73.1958285,1
150,-3.0465698,8.437698,-0.6369324,19.1959667,73.1958285,1
151,-3.8713684,8.6819,-4.130066,19.1959667,73.1958285,1
152,-2.7604675,8.97998,-2.043518,19.1959667,73.1958285,1
153,-4.0054474,9.940048,1.1563263,19.1959667,73.1958285,1
154,-3.5505524,9.244537,1.4232788,19.1959667,73.1958285,1
