Sr.No,x,y,z,PotholeValues
1,1.1839752,9.307983,-3.4058228,0
2,0.050323486,7.45607,-3.635666,0
3,-1.1347961,8.362274,-2.0734558,0
4,1.277359,10.756485,-3.7877045,0
5,2.0399017,9.122437,-4.3623047,0
6,0.4106598,9.554596,-2.3918762,0
7,1.0738525,9.934067,-2.0686646,0
8,0.87034607,7.491989,-3.050293,0
9,0.16404724,7.8977966,-4.095352,0
10,0.2945404,9.517487,-2.6408844,0
11,1.3455963,8.956039,-3.1927338,0
12,0.61177063,8.639999,-3.0239563,0
13,2.1201172,10.136383,-3.0814056,0
14,2.2697449,8.716614,-2.7055206,0
15,0.2669983,6.8850555,-2.6336975,0
16,-1.0402374,9.574936,-2.7749481,0
17,1.653244,9.843094,-3.699112,0
18,2.4301605,8.09053,-1.5527191,0
19,1.0163879,9.764084,-3.2825165,0
20,-0.117263794,10.066956,-3.2501984,0
21,0.0024414062,6.7653503,-2.5977783,0
22,1.4904327,8.042648,-2.8994446,0
23,2.8850555,12.515015,-1.2845612,0
24,0.11856079,10.218979,-4.375473,0
25,0.2490387,7.6092987,-2.5475006,0
26,3.1735687,10.807953,-2.2889252,0
27,-0.41055298,8.993149,-3.9062195,0
28,-3.2429047,6.020752,-3.15802,0
29,3.349533,10.32193,-3.5111694,0
30,3.3435516,9.790421,-2.4002533,0
31,-1.6902618,8.260529,-2.0339508,0
32,0.81048584,10.97435,-5.6132812,0
33,2.6540222,7.966034,-1.3480072,0
34,-2.3139496,4.456131,-3.5111694,0
35,-2.8741913,8.5095215,-5.007553,0
36,3.547058,10.272842,-1.7813568,0
37,3.5638123,7.0622253,-2.5056,0
38,-1.355072,8.719009,-1.8495941,0
39,0.80929565,10.740921,-3.849945,0
40,1.1289215,5.989624,-1.7921295,0
41,-0.77926636,7.1256714,-2.339203,0
42,-0.021499634,10.417694,-4.679535,0
43,0.12454224,9.108078,0.4512329,0
44,0.42860413,9.833511,-3.2729492,0
45,1.2665863,10.488327,-1.8471985,0
46,-0.27409363,7.610504,-1.149292,0
47,0.20475769,10.057373,-4.350342,0
48,1.5754395,12.105606,-1.1816101,0
49,0.9888611,8.3754425,-4.22464,0
50,1.6735992,10.034622,-0.15209961,0
51,1.8782959,10.779221,-5.1081085,0
52,-0.17831421,7.87027,-2.1967468,0
53,-1.236557,8.973999,-3.299286,0
54,0.60339355,10.7708435,-5.1990814,0
55,1.5778198,8.769287,-0.3580017,0
56,1.292923,9.978363,-4.7789,0
57,0.31848145,10.871399,-2.6384888,0
58,1.1911621,8.357483,-1.386322,0
59,1.2282715,7.6404266,-3.750595,0
60,-1.0139008,9.584518,-0.79974365,0
61,2.108139,9.762878,-4.806427,0
62,2.1141357,7.9013977,-1.0176086,0
63,-1.8578491,9.205032,-2.8204498,0
64,-0.61286926,11.2017975,-4.1073303,0
65,1.5538788,7.2130585,-1.1349182,0
66,2.5295258,7.3746643,-2.0088043,0
67,0.3639679,11.144333,-2.0638733,0
68,-0.70983887,9.923294,-2.7809448,0
69,2.0949707,8.2018585,-1.1217499,0
70,1.692749,8.976395,-2.217102,0
71,-2.6575165,7.696686,-3.4046326,0
72,-1.0498047,9.122437,-2.6815796,0
73,3.775711,11.007874,-3.3746948,0
74,1.5598755,8.799225,0.066970825,0
75,-1.0713501,8.533463,-3.2023163,0
76,0.093429565,11.07132,-2.9281769,0
77,1.6544342,7.9648438,-2.2506256,0
78,-1.8530579,7.440506,-2.5175781,0
79,-0.36027527,12.20018,-3.0562744,0
80,3.0083618,9.324753,-2.6313019,0
81,0.6464844,7.7816772,-0.74586487,0
82,0.6177521,11.544174,-4.905792,0
83,0.7183075,8.592117,-1.2666016,0
84,-1.3454895,7.3231964,-2.6755981,0
85,0.7781677,13.032166,-3.1269073,0
86,3.6978912,8.738159,-2.4888458,0
87,0.25024414,6.2050934,-1.2318878,0
88,-0.9480591,12.584457,-4.739395,0
89,1.0128021,9.100891,-2.852768,0
90,0.4836731,5.2761536,-0.39152527,0
91,0.67401123,12.185822,-4.3299866,0
92,1.435379,9.697037,-3.1352844,0
93,1.1576385,6.144043,-1.1504822,0
94,2.4337616,11.953583,-4.335968,0
95,-0.7493439,8.288055,-2.2937164,0
96,-2.7137756,5.2761536,-2.224289,0
97,1.5862122,11.745285,-4.277313,0
98,3.2872925,9.103287,-1.5958099,0
99,-0.14958191,5.593384,-2.2278748,0
100,0.37713623,11.692612,-3.9014282,0
101,1.4473419,8.717819,-2.8359985,0
102,-0.51231384,4.1293335,-1.4748993,0
103,-0.5613861,10.062164,-3.8427734,0
104,2.3104553,10.14357,-3.003601,0
105,1.2019348,6.0267334,-1.094223,0
106,-0.3219757,9.705429,-4.150421,0
107,0.55430603,9.406143,-2.40625,0
108,0.057510376,6.300873,-1.461731,0
109,-0.7744751,10.827103,-3.3579407,0
110,1.7107086,10.925262,-1.971695,0
111,1.6831665,6.437332,-1.2139282,0
112,0.9720917,10.2608795,-2.5427094,0
113,0.51000977,10.713379,-3.4561005,0
114,-0.63560486,6.246994,-2.1404877,0
115,-0.24894714,10.734924,-1.9573364,0
116,1.5131836,11.891327,-4.5239105,0
117,-0.011917114,6.721054,-1.2163239,0
118,1.7250671,9.5522,-3.7134857,0
119,2.5510712,11.753662,-3.0419006,0
120,-2.2193756,7.4620514,-1.9130402,0
121,-1.2640839,10.606842,-3.0885925,0
122,3.6033173,11.7357025,-2.7593842,0
123,0.96850586,6.6168976,-1.9729004,0
124,-0.6739197,10.037018,-3.3998413,0
125,1.0989838,11.905701,-4.7130585,0
126,0.4537506,7.310028,-0.21435547,0
127,0.97927856,9.500717,-3.0646515,0
128,1.8806915,11.575302,-2.7641754,0
129,1.1241302,7.989975,-2.318863,0
130,2.6671906,9.564163,-2.6684113,0
131,1.8699188,9.941254,-2.4792633,0
132,-2.1870575,6.9712524,-2.7617798,0
133,-1.5705414,9.3355255,-2.679184,0
134,4.01033,10.689438,-2.5187683,0
135,2.7138824,7.360306,-1.2151337,0
136,-0.54104614,9.146378,-2.5020142,0
137,1.6831665,10.809158,-4.035507,0
138,0.9565277,6.077011,-0.8308563,0
